link,base_link,id_votacion,tema,region
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23553,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23553,REGIONALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23554,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23554,REGIONALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23555,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23555,REGIONALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23557,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23557,REGIONALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=34219,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,34219,COMPETENCIAS GOBIERNOS REGIONALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=33949,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,33949,PROTECCION REGION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=33604,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,33604,INDIGENA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=33112,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,33112,PROTECCION REGION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=24420,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,24420,SUBDERE,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=24354,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,24354,PROTECCION REGION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23543,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23543,REGIONALIZACION,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23442,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23442,AGRICULTURA,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23051,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23051,SUBDERE,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23049,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23049,SUBDERE,1
