nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
JAIME SALVADOR SAEZ QUIROZ,RD,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Sáez_Quiroz,Jaime Salvador,Sáez,Quiroz,Administrador Hotelero y Administrador Público,9 de Diciembre de 1985,Temuco,,,1,0,21 de noviembre de 2021
DANIEL ALEXANDER MELO CONTRERAS,PS,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Alexander_Melo_Contreras,Daniel Alexander,Melo,Contreras,Magíster en Asentamientos Humanos,18 de Febrero de 1979,Santiago,,,0,un,17 de noviembre de 2013
TUCAPEL FRANCISCO JIMENEZ FUENTES,PPD,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes,Tucapel Francisco,Jiménez,Fuentes,Ingeniero en Ejecución Eléctrico,1 de Septiembre de 1962,Santiago,,,1,tres,17 de noviembre de 2013
MIGUEL ANGEL CALISTO AGUILA,PDC,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ángel_Calisto_Águila,Miguel Ángel,Calisto,Águila,Periodista,19 de Julio de 1985,Coyhaique,,Católica,0,un,19 de noviembre de 2017
MIGUEL ANGEL CALISTO AGUILA,PDC,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ángel_Calisto_Águila,Miguel Ángel,Calisto,Águila,Periodista,19 de Julio de 1985,Coyhaique,,Católica,0,un,21 de noviembre de 2021
RENE ALINCO BUSTOS,INDEPENDIENTE PARTIDO POR LA DEMOCRACIA,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Alinco_Bustos,René,Alinco,Bustos,Obrero de la construcción,2 de Junio de 1958,,,,1,0,21 de noviembre de 2021
GUILLERMO LEON TEILLIER DEL VALLE,PC,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_León_Teillier_del_Valle,Guillermo León,Teillier,del Valle,Profesor de Castellano,29 de Octubre de 1943,Santa Bárbara,29 de Agosto de 2023,,0,tres,17 de noviembre de 2013
PEDRO PABLO BROWNE URREJOLA,RN,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Browne_Urrejola,Pedro Pablo,Browne,Urrejola,Ingeniero,29 de Junio de 1972,Santiago,,,1,cuatro,17 de noviembre de 2013
KARIM ANTONIO BIANCHI RETAMALES,PRSD,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karim_Antonio_Bianchi_Retamales,Karim Antonio,Bianchi,Retamales,Ingeniero Comercial y egresado de Derecho,31 de Enero de 1983,Punta Arenas,,,0,0,19 de noviembre de 2017
GABRIEL BORIC FONT,PH,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Boric_Font,Gabriel,Boric,Font,Egresado de Derecho,11 de Febrero de 1986,Punta Arenas,,,0,0,19 de noviembre de 2017
JAVIERA IGNACIA MORALES ALVARADO,INDEPENDIENTE CONVERGENCIA SOCIAL,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javiera_Morales_Alvarado,Javiera Ignacia,Morales,Alvarado,Abogada,16 de Noviembre de 1983,Punta Arenas,,,1,0,21 de noviembre de 2021
LEOPOLDO ALFREDO PEREZ LAHSEN,RN,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leopoldo_Alfredo_Pérez_Lahsen,Leopoldo Alfredo,Pérez,Lahsen,Administrador Público,28 de Marzo de 1957,Santiago,,,1,0,17 de noviembre de 2013
OSVALDO RAUL ANDRADE LARA,PS,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Raúl_Andrade_Lara,Osvaldo Raúl,Andrade,Lara,Licenciado,02 de Junio de 1953,Santiago,,,0,0,17 de noviembre de 2013
