deputyid,distrito,partido,pacto,tendencia,nombre,year,region
981,21,PS,NUEVA MAYORIA,0,MAYA ALEJANDRA FERNANDEZ ALLENDE,2015,13
949,21,RN,CHILE VAMOS,1,MARCELA CONSTANZA SABAT FERNANDEZ,2015,13
981,21,PS,NUEVA MAYORIA,0,MAYA ALEJANDRA FERNANDEZ ALLENDE,2016,13
949,21,RN,CHILE VAMOS,1,MARCELA CONSTANZA SABAT FERNANDEZ,2016,13
981,21,PS,NUEVA MAYORIA,0,MAYA ALEJANDRA FERNANDEZ ALLENDE,2017,13
949,21,RN,CHILE VAMOS,1,MARCELA CONSTANZA SABAT FERNANDEZ,2017,13
1082,21,RN,CHILE VAMOS,1,CRISTOBAL URRUTICOECHEA RIOS,2018,8
869,21,PS,NUEVA MAYORIA,0,MANUEL MONSALVE BENAVIDES,2018,8
885,21,PRSD,NUEVA MAYORIA,0,JOSE PEREZ ARRIAGADA,2018,8
875,21,UDI,CHILE VAMOS,1,IVAN NORAMBUENA FARIAS,2018,8
1062,21,PDC,PDC,0,JOANNA PEREZ OLEA,2018,8
885,21,PRSD,NUEVA MAYORIA,0,JOSE PEREZ ARRIAGADA,2019,8
1062,21,PDC,PDC,0,JOANNA PEREZ OLEA,2019,8
875,21,UDI,CHILE VAMOS,1,IVAN NORAMBUENA FARIAS,2019,8
869,21,PS,NUEVA MAYORIA,0,MANUEL MONSALVE BENAVIDES,2019,8
1082,21,RN,CHILE VAMOS,1,CRISTOBAL URRUTICOECHEA RIOS,2019,8
1062,21,PDC,PDC,0,JOANNA PEREZ OLEA,2020,8
869,21,PS,NUEVA MAYORIA,0,MANUEL MONSALVE BENAVIDES,2020,8
885,21,PRSD,NUEVA MAYORIA,0,JOSE PEREZ ARRIAGADA,2020,8
875,21,UDI,CHILE VAMOS,1,IVAN NORAMBUENA FARIAS,2020,8
1082,21,RN,CHILE VAMOS,1,CRISTOBAL URRUTICOECHEA RIOS,2020,8
885,21,PRSD,NUEVA MAYORIA,0,JOSE PEREZ ARRIAGADA,2021,8
869,21,PS,NUEVA MAYORIA,0,MANUEL MONSALVE BENAVIDES,2021,8
1062,21,PDC,PDC,0,JOANNA PEREZ OLEA,2021,8
875,21,UDI,CHILE VAMOS,1,IVAN NORAMBUENA FARIAS,2021,8
1082,21,RN,CHILE VAMOS,1,CRISTOBAL URRUTICOECHEA RIOS,2021,8
1082,21,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Cristóbal Urruticoechea Ríos,2022,8
1145,21,PDG,PDG,777,Karen Medina Vásquez,2022,8
1183,21,UDI,CHILE VAMOS,1,Flor Weisse Novoa,2022,8
1169,21,IND,FRENTE AMPLIO,0,Clara Sagardia Cabezas,2022,8
1062,21,DEMOCRATAS,CHILE VAMOS,1,Joanna Pérez Olea,2022,8
1169,21,IND,FRENTE AMPLIO,0,Clara Sagardia Cabezas,2023,8
1062,21,DEMOCRATAS,CHILE VAMOS,1,Joanna Pérez Olea,2023,8
1145,21,PDG,PDG,777,Karen Medina Vásquez,2023,8
1082,21,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Cristóbal Urruticoechea Ríos,2023,8
1183,21,UDI,CHILE VAMOS,1,Flor Weisse Novoa,2023,8
1082,21,REPUBLICANO,FRENTE SOCIAL CRISTIANO,1,Cristóbal Urruticoechea Ríos,2024,8
1062,21,DEMOCRATAS,CHILE VAMOS,1,Joanna Pérez Olea,2024,8
1183,21,UDI,CHILE VAMOS,1,Flor Weisse Novoa,2024,8
1145,21,PDG,PDG,777,Karen Medina Vásquez,2024,8
1169,21,IND,FRENTE AMPLIO,0,Clara Sagardia Cabezas,2024,8
987,22,IND,SIN PACTO,0,KENNETH GIORGIO JACKSON DRAGO,2014,13
988,22,INDEPENDIENTES LISTA J,CHILE VAMOS,1,FELIPE JOSE KAST SOMMERHOFF,2014,13
987,22,IND,SIN PACTO,0,KENNETH GIORGIO JACKSON DRAGO,2015,13
988,22,INDEPENDIENTES LISTA J,CHILE VAMOS,1,FELIPE JOSE KAST SOMMERHOFF,2015,13
987,22,IND,SIN PACTO,0,KENNETH GIORGIO JACKSON DRAGO,2016,13
988,22,INDEPENDIENTES LISTA J,CHILE VAMOS,1,FELIPE JOSE KAST SOMMERHOFF,2016,13
987,22,IND,SIN PACTO,0,KENNETH GIORGIO JACKSON DRAGO,2017,13
988,22,INDEPENDIENTES LISTA J,CHILE VAMOS,1,FELIPE JOSE KAST SOMMERHOFF,2017,13
913,22,PDC,PDC,0,MARIO ARTIDORO VENEGAS CARDENAS,2018,9
1061,22,PPD,NUEVA MAYORIA,0,ANDREA PARRA SAUTEREL,2018,9
995,22,RN,CHILE VAMOS,1,DIEGO PAULSEN KEHR,2018,9
999,22,RN,CHILE VAMOS,1,JORGE RATHGEB SCHIFFERLI,2018,9
995,22,RN,CHILE VAMOS,1,DIEGO PAULSEN KEHR,2019,9
913,22,PDC,PDC,0,MARIO ARTIDORO VENEGAS CARDENAS,2019,9
999,22,RN,CHILE VAMOS,1,JORGE RATHGEB SCHIFFERLI,2019,9
1061,22,PPD,NUEVA MAYORIA,0,ANDREA PARRA SAUTEREL,2019,9
995,22,RN,CHILE VAMOS,1,DIEGO PAULSEN KEHR,2020,9
999,22,RN,CHILE VAMOS,1,JORGE RATHGEB SCHIFFERLI,2020,9
1061,22,PPD,NUEVA MAYORIA,0,ANDREA PARRA SAUTEREL,2020,9
